l_vel X,l_vel Y,l_vel Z,t
0.14185284078121185,0.028664011508226395,0.12172586470842361,391
0.11468718945980072,0.035454921424388885,0.1295195072889328,392
0.0885455533862114,0.04125691205263138,0.14009322226047516,393
0.06312902271747589,0.047327395528554916,0.14504453539848328,394
0.037123214453458786,0.05425039306282997,0.16669081151485443,395
0.012761459685862064,0.059646688401699066,0.16244009137153625,396
-0.006114571820944548,0.06271287798881531,0.128374382853508,397
-0.027013545855879784,0.06578782945871353,0.11551178246736526,398
-0.045063283294439316,0.06991750001907349,0.13942141830921173,399
-0.06245405599474907,0.07340046018362045,0.14027148485183716,400
-0.07751863449811935,0.07594141364097595,0.14086490869522095,401
-0.09041458368301392,0.07850653678178787,0.1458701342344284,402
-0.10249646753072739,0.08014316111803055,0.15564925968647003,403
-0.11201820522546768,0.08253341168165207,0.17407752573490143,404
-0.12282820045948029,0.0852920264005661,0.1956392377614975,405
-0.13079704344272614,0.08653588593006134,0.19276465475559235,406
-0.13989302515983582,0.08644363284111023,0.1774243265390396,407
-0.1471432000398636,0.08562745898962021,0.15086542069911957,408
-0.15367372334003448,0.08478891849517822,0.14587576687335968,409
-0.15830685198307037,0.08399170637130737,0.15211962163448334,410
-0.16241370141506195,0.08216731250286102,0.12754948437213898,411
-0.16519153118133545,0.07950183749198914,0.10981641709804535,412
-0.16558745503425598,0.07668939232826233,0.11081590503454208,413
-0.16445565223693848,0.07341284304857254,0.09950472414493561,414
-0.16195964813232422,0.06920723617076874,0.09161106497049332,415
-0.15713611245155334,0.0655205249786377,0.09306823462247849,416
-0.15141773223876953,0.061509229242801666,0.08038987219333649,417
-0.1453229933977127,0.05708863586187363,0.06779295951128006,418
-0.13820934295654297,0.052799515426158905,0.05449213460087776,419
-0.1290670931339264,0.04749654605984688,0.04292750358581543,420
-0.12068246304988861,0.04326093941926956,0.024835089221596718,421
-0.10976189374923706,0.03751658648252487,0.01053119357675314,422
-0.10178405791521072,0.03247852623462677,-0.02010006085038185,423
-0.09020256251096725,0.025607602670788765,-0.04350566118955612,424
-0.07823892682790756,0.019848784431815147,-0.05575836822390556,425
-0.06518109887838364,0.013876655139029026,-0.06757940351963043,426
-0.04894525185227394,0.008076218888163567,-0.06840150058269501,427
-0.03648168593645096,0.002990266541019082,-0.09590688347816467,428
-0.021266218274831772,-0.0038520649541169405,-0.11336655169725418,429
-0.0019169606966897845,-0.008924242109060287,-0.09687379747629166,430
0.0139797143638134,-0.013482930138707161,-0.10179399698972702,431
0.028577538207173347,-0.018296368420124054,-0.12182870507240295,432
0.04174507409334183,-0.022739887237548828,-0.14410647749900818,433
0.05555347725749016,-0.027864158153533936,-0.1689566820859909,434
0.07094485312700272,-0.03254654258489609,-0.17492642998695374,435
